start_time_iso=2026-06-03T18:26:58.090
time_sec,Endo_mm,Trans_mm,Epi_mm
422.001,211.241015625,206.380859375,225.66484375000002
422.1,210.48164062499998,206.202734375,225.40234375
422.203,209.709765625,205.99335937499998,225.10859375
422.3,208.98125000000002,205.799609375,224.84296875
422.401,208.19062499999998,205.596484375,224.56523437500002
422.501,207.290625,205.37734375,224.218359375
422.601,206.44375000000002,205.24296875000002,223.974609375
422.701,205.502734375,205.06796875,223.674609375
422.8,204.53437499999998,204.79921875000002,223.37148437500002
422.901,203.66015625,204.40859375,223.177734375
423.001,202.6859375,203.80859375,223.00273437500002
423.101,201.752734375,203.164453125,222.85546875
423.202,200.95664062499998,202.59882812499998,222.69609375
423.301,200.45390625000002,202.25507812499998,222.48671875
423.401,200.191796875,202.108203125,222.30234375
423.501,200.085546875,202.04570312500002,222.06484375
423.601,200.03593750000002,202.020703125,221.88359375
423.701,199.9703125,201.98320312500002,221.69296875
423.801,199.95156250000002,201.973828125,221.49609375
423.9,199.9703125,201.98007812499998,221.30859375
424.001,199.99531249999998,201.995703125,221.11484375
424.1,199.9609375,201.992578125,220.99921875
424.2,199.73906250000002,201.945703125,220.89296875
424.3,199.564453125,201.911328125,220.79609375
424.401,199.7171875,201.94257812499998,220.71757812500002
424.501,200.48203125,202.080078125,220.601953125
424.601,201.862109375,202.251953125,220.442578125
424.701,203.54765625,202.520703125,220.298828125
424.8,205.324609375,203.033203125,220.236328125
424.901,206.653125,203.69609375,220.31132812500002
425.001,207.94062499999998,204.93984375,220.542578125
425.1,209.134375,206.074609375,220.776953125
425.2,210.444140625,207.13125,221.10546875
425.3,211.94140625,207.69062499999998,221.46484375
425.401,213.62617187499998,207.77499999999998,221.89296875
425.5,215.373828125,207.68125,222.35859375
425.6,217.080859375,207.71875,222.83046875000002
425.7,218.767578125,208.26914062499998,223.377734375
425.8,220.28242187499998,209.047265625,223.771484375
425.901,221.672265625,209.93515625,224.20273437499998
426.001,223.115234375,210.941796875,224.780859375
426.101,224.283203125,211.563671875,225.21171875000002
426.201,225.373046875,212.16015625,225.76171875
426.301,226.378515625,212.72265625,226.35546875
426.4,227.35,213.262890625,226.93632812500002
426.5,228.43984375000002,213.90625,227.64570312499998
426.601,229.45156250000002,214.4625,228.2546875
426.702,230.51328125,215.14023437499998,229.0390625
426.801,231.46015624999998,215.821484375,229.5640625
426.901,232.29453124999998,216.74921875,230.066796875
427.0,232.99453125,217.85820312500002,230.460546875
427.1,233.63203125,219.086328125,230.79804687499998
427.2,234.24140625,220.42070312500002,231.16640625000002
427.3,234.83203125,221.4953125,231.45390625000002
427.401,235.41953125,222.6796875,231.79140625
427.501,235.99765625,223.9640625,232.16640625000002
427.6,236.50390625,224.98906250000002,232.41914062499998
427.7,236.99765625,226.1140625,232.71601562499998
427.801,237.46992187499998,227.1703125,232.994140625
427.9,237.8984375,228.20156250000002,233.25664062500002
428.0,238.30781249999998,229.32968749999998,233.522265625
428.101,238.617578125,230.1953125,233.6625
428.2,238.876953125,231.1359375,233.790625
428.3,239.09257812500002,232.045703125,233.88125000000002
428.401,239.28046875,232.89570312499998,233.946875
428.501,239.46171875,233.723828125,233.98749999999998
428.601,239.59921875,234.330078125,233.990625
428.701,239.72421875,234.939453125,233.97187499999998
428.8,239.83984375,235.50234375000002,233.93125
428.9,239.955859375,235.99609375,233.884375
429.001,240.071484375,236.43359375,233.8125
429.1,240.177734375,236.81796875,233.73125
429.2,240.28085937499998,237.18359375,233.653125
429.301,240.37773437500002,237.561328125,233.57851562500002
429.4,240.462109375,237.870703125,233.522265625
429.501,240.552734375,238.223828125,233.450390625
429.6,240.633984375,238.4765625,233.416015625
429.7,240.725,238.7484375,233.394140625
429.801,240.82187499999998,239.00156249999998,233.394140625
