Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,3.5,0.09679,-0.071648,0.063899,-0.052237,-0.081034,0.057602,0.022277,-0.076341,0.060751,-0.002662,-0.161576,0.143949,0.030747,-0.160989,0.143468,0.000344,-0.165484,0.09689,0.027262,-0.167021,0.095488
36,3.6,0.096889,-0.072309,0.063762,-0.052227,-0.081026,0.057572,0.022331,-0.076667,0.060667,-0.002731,-0.162666,0.143922,0.030785,-0.161052,0.143406,0.000503,-0.164446,0.096414,0.027297,-0.166107,0.095998
37,3.7,0.096768,-0.070979,0.064056,-0.052203,-0.080997,0.05757,0.022282,-0.075988,0.060813,-0.002683,-0.162518,0.143474,0.030832,-0.160894,0.14298,0.000534,-0.164373,0.096455,0.027362,-0.165955,0.095557
38,3.8,0.096711,-0.070386,0.064117,-0.052125,-0.080739,0.057648,0.022293,-0.075563,0.060883,-0.002662,-0.162588,0.143981,0.030854,-0.160961,0.143469,0.000546,-0.164449,0.096971,0.027366,-0.166991,0.09549
39,3.9,0.096798,-0.071473,0.063925,-0.052132,-0.080748,0.057597,0.022333,-0.07611,0.060761,-0.002575,-0.161519,0.143443,0.030768,-0.162045,0.143472,0.000494,-0.164477,0.096947,0.027354,-0.165993,0.095547
40,4,0.096748,-0.071046,0.06406,-0.052248,-0.08087,0.057645,0.02225,-0.075958,0.060853,-0.003274,-0.162395,0.143997,0.030715,-0.160935,0.1435,0.000443,-0.164328,0.096501,0.027647,-0.166281,0.097083
41,4.1,0.096791,-0.071361,0.063987,-0.052297,-0.0812,0.057528,0.022247,-0.076281,0.060757,-0.002777,-0.162588,0.143962,0.030739,-0.160975,0.143456,0.000438,-0.164445,0.096952,0.027772,-0.166113,0.095567
42,4.2,0.096691,-0.070672,0.064057,-0.052168,-0.080786,0.057645,0.022262,-0.075729,0.060851,-0.002723,-0.16259,0.143994,0.030793,-0.160976,0.143476,0.000476,-0.164459,0.096984,0.027303,-0.16605,0.096069
43,4.3,0.096878,-0.071976,0.063843,-0.052227,-0.08101,0.057595,0.022325,-0.076493,0.060719,-0.00317,-0.162407,0.143468,0.030787,-0.161003,0.143451,0.000473,-0.164485,0.096957,0.02689,-0.165791,0.095051
44,4.4,0.096815,-0.071849,0.063879,-0.052224,-0.081033,0.057562,0.022296,-0.076441,0.06072,-0.003168,-0.162401,0.143476,0.030296,-0.160921,0.14393,0.000382,-0.165493,0.096889,0.027783,-0.166209,0.096066
