Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 18:05,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
82,8.2,0.129518,-0.107281,0.086048,0.005699,-0.115246,0.087435,0.067609,-0.111264,0.086741,0.038784,-0.158374,0.144911,0.072187,-0.160236,0.143951,0.042398,-0.160495,0.097546,0.069121,-0.16406,0.096217
83,8.3,0.129586,-0.107539,0.085936,0.005858,-0.114902,0.087512,0.067722,-0.111221,0.086724,0.038782,-0.159465,0.144942,0.072297,-0.160267,0.143941,0.042626,-0.159462,0.097148,0.06962,-0.165343,0.096136
84,8.4,0.129519,-0.106943,0.086081,0.005852,-0.114692,0.087529,0.067685,-0.110818,0.086805,0.039216,-0.159425,0.144527,0.072684,-0.160297,0.144013,0.042394,-0.161358,0.097037,0.069106,-0.165075,0.096661
85,8.5,0.129398,-0.106176,0.086075,0.005869,-0.114195,0.08757,0.067634,-0.110186,0.086823,0.038841,-0.1583,0.144398,0.072643,-0.160397,0.143912,0.042344,-0.16144,0.096942,0.068649,-0.163933,0.096633
86,8.6,0.129431,-0.107048,0.08602,0.006084,-0.113001,0.087726,0.067758,-0.110025,0.086873,0.038641,-0.160306,0.143998,0.072197,-0.160211,0.143925,0.042332,-0.161426,0.096964,0.069567,-0.164203,0.096201
87,8.7,0.129439,-0.106824,0.086028,0.005939,-0.113666,0.08765,0.067689,-0.110245,0.086839,0.038691,-0.159339,0.144438,0.072605,-0.160394,0.143929,0.042309,-0.161436,0.096956,0.069544,-0.164214,0.096195
88,8.8,0.129432,-0.106382,0.086063,0.005975,-0.11394,0.08756,0.067703,-0.110161,0.086812,0.039328,-0.158552,0.144374,0.072685,-0.160472,0.143872,0.042377,-0.161519,0.096908,0.069166,-0.164116,0.09613
89,8.9,0.129498,-0.1072,0.08598,0.005808,-0.114934,0.087501,0.067653,-0.111067,0.086741,0.039181,-0.159612,0.144973,0.07265,-0.161486,0.144008,0.04239,-0.161495,0.097009,0.069627,-0.164258,0.09625
90,9,0.129463,-0.106951,0.086059,0.005767,-0.114977,0.087495,0.067615,-0.110964,0.086777,0.039203,-0.159518,0.144473,0.072671,-0.160389,0.143953,0.042374,-0.161447,0.096981,0.069128,-0.164108,0.096685
91,9.1,0.129445,-0.10698,0.085893,0.005841,-0.114268,0.087513,0.067643,-0.110624,0.086703,0.03926,-0.158518,0.144354,0.072616,-0.160452,0.143848,0.042301,-0.16148,0.096887,0.069535,-0.164263,0.096114
